"","Country.Province","Lat","Long","pos_mean","pos_std","pos_sum"
"1","Afghanistan/",33.93911,67.709953,31544.4529147982,31544.4529147982,14068826
"2","Albania/",41.1533,20.1683,30214.1569506726,30214.1569506726,13475514
"3","Algeria/",28.0339,1.6596,48804.9708520179,48804.9708520179,21767017
"4","Andorra/",42.5063,1.5218,3908.7264573991,3908.7264573991,1743292
"5","Angola/",-11.2027,17.8739,7648.71748878924,7648.71748878924,3411328
"6","Antigua and Barbuda/",17.0608,-61.7964,189.735426008969,189.735426008969,84622
"7","Argentina/",-38.4161,-63.6167,798019.450672646,798019.450672646,355916675
"8","Armenia/",40.0691,45.0382,72096.0829596413,72096.0829596413,32154853
"9","Australia/Australian Capital Territory",-35.4735,149.0124,96.9125560538117,96.9125560538117,43223
"10","Australia/New South Wales",-33.8688,151.2093,3551.2466367713,3551.2466367713,1583856
"11","Australia/Northern Territory",-12.4634,130.8456,45.6367713004484,45.6367713004484,20354
"12","Australia/Queensland",-27.4698,153.0251,1005.41255605381,1005.41255605381,448414
"13","Australia/South Australia",-34.9285,138.6007,437.470852017937,437.470852017937,195112
"14","Australia/Tasmania",-42.8821,147.3272,190.780269058296,190.780269058296,85088
"15","Australia/Victoria",-37.8136,144.9631,12023.6390134529,12023.6390134529,5362543
"16","Australia/Western Australia",-31.9505,115.8605,622.428251121076,622.428251121076,277603
"17","Austria/",47.5162,14.5501,152824.804932735,152824.804932735,68159863
"18","Azerbaijan/",40.1431,47.5769,83049.8901345292,83049.8901345292,37040251
"19","Bahamas/",25.025885,-78.035889,3655.54035874439,3655.54035874439,1630371
"20","Bahrain/",26.0275,50.55,55823.1793721973,55823.1793721973,24897138
"21","Bangladesh/",23.685,90.3563,280310.807174888,280310.807174888,125018620
"22","Barbados/",13.1939,-59.5432,645.54932735426,645.54932735426,287915
"23","Belarus/",53.7098,27.9534,107481.477578475,107481.477578475,47936739
"24","Belgium/",50.8333,4.469936,293597.975336323,293597.975336323,130944697
"25","Belize/",17.1899,-88.4976,4016.37443946188,4016.37443946188,1791303
"26","Benin/",9.3077,2.3158,2216.21524663677,2216.21524663677,988432
"27","Bhutan/",27.5142,90.4336,313.291479820628,313.291479820628,139728
"28","Bolivia/",-16.2902,-63.5887,103484.986547085,103484.986547085,46154304
"29","Bosnia and Herzegovina/",43.9159,17.6791,48773.1950672646,48773.1950672646,21752845
"30","Botswana/",-22.3285,24.6849,8411.06726457399,8411.06726457399,3751336
"31","Brazil/",-14.235,-51.9253,4336669.04932735,4336669.04932735,1934154396
