"","Country.Province","Lat","Long","pos_mean","pos_std","pos_sum"
"1","Afghanistan/",33.93911,67.709953,34852.0300601202,34852.0300601202,17391163
"2","Albania/",41.1533,20.1683,40942.9679358717,40942.9679358717,20430541
"3","Algeria/",28.0339,1.6596,56775.2104208417,56775.2104208417,28330830
"4","Andorra/",42.5063,1.5218,4906.70741482966,4906.70741482966,2448447
"5","Angola/",-11.2027,17.8739,9897.05811623247,9897.05811623247,4938632
"6","Antigua and Barbuda/",17.0608,-61.7964,300.943887775551,300.943887775551,150171
"7","Argentina/",-38.4161,-63.6167,1049883.86773547,1049883.86773547,523892050
"8","Armenia/",40.0691,45.0382,87475.368737475,87475.368737475,43650209
"9","Australia/Australian Capital Territory",-35.4735,149.0124,99.7555110220441,99.7555110220441,49778
"10","Australia/New South Wales",-33.8688,151.2093,3758.38476953908,3758.38476953908,1875434
"11","Australia/Northern Territory",-12.4634,130.8456,57.6593186372746,57.6593186372746,28772
"12","Australia/Queensland",-27.4698,153.0251,1065.36673346693,1065.36673346693,531618
"13","Australia/South Australia",-34.9285,138.6007,468.224448897796,468.224448897796,233644
"14","Australia/Tasmania",-42.8821,147.3272,195.370741482966,195.370741482966,97490
"15","Australia/Victoria",-37.8136,144.9631,12927.7795591182,12927.7795591182,6450962
"16","Australia/Western Australia",-31.9505,115.8605,662.779559118236,662.779559118236,330727
"17","Austria/",47.5162,14.5501,202789.210420842,202789.210420842,101191816
"18","Azerbaijan/",40.1431,47.5769,108291.448897796,108291.448897796,54037433
"19","Bahamas/",25.025885,-78.035889,4406.91382765531,4406.91382765531,2199050
"20","Bahrain/",26.0275,50.55,70436.1022044088,70436.1022044088,35147615
"21","Bangladesh/",23.685,90.3563,331676.871743487,331676.871743487,165506759
"22","Barbados/",13.1939,-59.5432,991.707414829659,991.707414829659,494862
"23","Belarus/",53.7098,27.9534,135095.699398798,135095.699398798,67412754
"24","Belgium/",50.8333,4.469936,369396.595190381,369396.595190381,184328901
"25","Belize/",17.1899,-88.4976,4936.76152304609,4936.76152304609,2463444
"26","Benin/",9.3077,2.3158,2817.23446893788,2817.23446893788,1405800
"27","Bhutan/",27.5142,90.4336,409.288577154309,409.288577154309,204235
"28","Bolivia/",-16.2902,-63.5887,126692.869739479,126692.869739479,63219742
"29","Bosnia and Herzegovina/",43.9159,17.6791,64684.1683366733,64684.1683366733,32277400
"30","Botswana/",-22.3285,24.6849,12702.0701402806,12702.0701402806,6338333
"31","Brazil/",-14.235,-51.9253,5484627.68737475,5484627.68737475,2736829216
"32","Brunei/",4.5353,114.7277,145.178356713427,145.178356713427,72444
