"","Country.Province","Lat","Long","pos_mean","pos_std","pos_sum"
"1","Afghanistan/",33.93911,67.709953,34323.5792682927,34323.5792682927,16887201
"2","Albania/",41.1533,20.1683,39642.8597560976,39642.8597560976,19504287
"3","Algeria/",28.0339,1.6596,55747.3658536585,55747.3658536585,27427704
"4","Andorra/",42.5063,1.5218,4781.33333333333,4781.33333333333,2352416
"5","Angola/",-11.2027,17.8739,9546.2174796748,9546.2174796748,4696739
"6","Antigua and Barbuda/",17.0608,-61.7964,287.29674796748,287.29674796748,141350
"7","Argentina/",-38.4161,-63.6167,1010911.03658537,1010911.03658537,497368230
"8","Armenia/",40.0691,45.0382,85551.2378048781,85551.2378048781,42091209
"9","Australia/Australian Capital Territory",-35.4735,149.0124,99.4105691056911,99.4105691056911,48910
"10","Australia/New South Wales",-33.8688,151.2093,3732.37195121951,3732.37195121951,1836327
"11","Australia/Northern Territory",-12.4634,130.8456,56.0182926829268,56.0182926829268,27561
"12","Australia/Queensland",-27.4698,153.0251,1057.49390243902,1057.49390243902,520287
"13","Australia/South Australia",-34.9285,138.6007,464.142276422764,464.142276422764,228358
"14","Australia/Tasmania",-42.8821,147.3272,194.821138211382,194.821138211382,95852
"15","Australia/Victoria",-37.8136,144.9631,12818.5426829268,12818.5426829268,6306723
"16","Australia/Western Australia",-31.9505,115.8605,657.729674796748,657.729674796748,323603
"17","Austria/",47.5162,14.5501,196499.920731707,196499.920731707,96677961
"18","Azerbaijan/",40.1431,47.5769,105080.274390244,105080.274390244,51699495
"19","Bahamas/",25.025885,-78.035889,4301.80894308943,4301.80894308943,2116490
"20","Bahrain/",26.0275,50.55,68021.6077235772,68021.6077235772,33466631
"21","Bangladesh/",23.685,90.3563,325002.199186992,325002.199186992,159901082
"22","Barbados/",13.1939,-59.5432,948.660569105691,948.660569105691,466741
"23","Belarus/",53.7098,27.9534,131407.130081301,131407.130081301,64652308
"24","Belgium/",50.8333,4.469936,359537.032520325,359537.032520325,176892220
"25","Belize/",17.1899,-88.4976,4824.73577235772,4824.73577235772,2373770
"26","Benin/",9.3077,2.3158,2742.57317073171,2742.57317073171,1349346
"27","Bhutan/",27.5142,90.4336,392.219512195122,392.219512195122,192972
"28","Bolivia/",-16.2902,-63.5887,123202.239837398,123202.239837398,60615502
"29","Bosnia and Herzegovina/",43.9159,17.6791,62701.9390243902,62701.9390243902,30849354
"30","Botswana/",-22.3285,24.6849,12105.4552845528,12105.4552845528,5955884
"31","Brazil/",-14.235,-51.9253,5326741.82723577,5326741.82723577,2620756979
"32","Brunei/",4.5353,114.7277,143.794715447154,143.794715447154,70747
"33","Bulgaria/",42.7339,25.4858,113198.607723577,113198.607723577,55693715
"34","Burkina Faso/",12.2383,-1.5616,4517.19918699187,4517.19918699187,2222462
"35","Burma/",21.9162,95.956,55753.3272357724,55753.3272357724,27430637
"36","Burundi/",-3.3731,29.9189,982.394308943089,982.394308943089,483338
"37","Cabo Verde/",16.5388,-23.0418,7887.58130081301,7887.58130081301,3880690
"38","Cambodia/",11.55,104.9167,1826.90853658537,1826.90853658537,898839
"39","Cameroon/",3.848,11.5021,22743.2479674797,22743.2479674797,11189678
"40","Canada/Alberta",53.9333,-116.5765,57825.1402439024,57825.1402439024,28449969
"41","Canada/British Columbia",53.7267,-127.6476,34384.9308943089,34384.9308943089,16917386
"42","Canada/Diamond Princess",0,0,0.0650406504065041,0.0650406504065041,32
"43","Canada/Grand Princess",0,0,11.5243902439024,11.5243902439024,5670
"44","Canada/Manitoba",53.7609,-98.8139,12623.7174796748,12623.7174796748,6210869
"45","Canada/New Brunswick",46.5653,-66.4619,586.839430894309,586.839430894309,288725
"46","Canada/Newfoundland and Labrador",53.1355,-57.6604,414.534552845528,414.534552845528,203951
"47","Canada/Northwest Territories",64.8255,-124.8457,20.6036585365854,20.6036585365854,10137
"48","Canada/Nova Scotia",44.682,-63.7443,1242.93902439024,1242.93902439024,611526
"49","Canada/Nunavut",70.2998,-83.1076,137.038617886179,137.038617886179,67423
"50","Canada/Ontario",51.2538,-85.3232,137203.333333333,137203.333333333,67504040
"51","Canada/Prince Edward Island",46.5107,-63.4168,69.3983739837398,69.3983739837398,34144
"52","Canada/Quebec",52.9399,-73.5491,132086.357723577,132086.357723577,64986488
"53","Canada/Repatriated Travellers",NA,NA,4.88821138211382,4.88821138211382,2405
"54","Canada/Saskatchewan",52.9399,-106.4509,11025.6341463415,11025.6341463415,5424612
"55","Canada/Yukon",64.2823,-135,33.2032520325203,33.2032520325203,16336
"56","Central African Republic/",6.6111,20.9394,3582.63211382114,3582.63211382114,1762655
"57","Chad/",15.4542,18.7322,1776.16260162602,1776.16260162602,873872
"58","Chile/",-35.6751,-71.543,468479.867886179,468479.867886179,230492095
"59","China/Anhui",31.8257,117.2264,964.126016260163,964.126016260163,474350
"60","China/Beijing",40.1824,116.4142,833.05487804878,833.05487804878,409863
"61","China/Chongqing",30.0572,107.874,570.947154471545,570.947154471545,280906
"62","China/Fujian",26.0789,117.9874,426.408536585366,426.408536585366,209793
"63","China/Gansu",35.7518,104.2861,160.339430894309,160.339430894309,78887
"64","China/Guangdong",23.3417,113.4244,1809.28455284553,1809.28455284553,890168
"65","China/Guangxi",23.8298,108.7881,253.209349593496,253.209349593496,124579
"66","China/Guizhou",26.8154,106.8748,142.335365853659,142.335365853659,70029
"67","China/Hainan",19.1959,109.7453,167.099593495935,167.099593495935,82213
"68","China/Hebei",39.549,116.1306,601.810975609756,601.810975609756,296091
"69","China/Heilongjiang",47.862,127.7615,1025.24796747967,1025.24796747967,504422
"70","China/Henan",37.8957,114.9042,1252.67276422764,1252.67276422764,616315
"71","China/Hong Kong",22.3,114.2,5351.69308943089,5351.69308943089,2633033
"72","China/Hubei",30.9756,112.2707,65423.8536585366,65423.8536585366,32188536
"73","China/Hunan",27.6104,111.7088,998.337398373984,998.337398373984,491182
"74","China/Inner Mongolia",44.0935,113.9448,263.965447154472,263.965447154472,129871
"75","China/Jiangsu",32.9711,119.455,653.680894308943,653.680894308943,321611
"76","China/Jiangxi",27.614,115.7221,909.083333333333,909.083333333333,447269
"77","China/Jilin",43.6661,126.1923,245.731707317073,245.731707317073,120900
"78","China/Liaoning",41.2956,122.6085,260.607723577236,260.607723577236,128219
"79","China/Macau",22.1667,113.55,41.6808943089431,41.6808943089431,20507
"80","China/Ningxia",37.2692,106.1655,72.6666666666667,72.6666666666667,35752
"81","China/Qinghai",35.7452,95.9956,17.6565040650407,17.6565040650407,8687
"82","China/Shaanxi",35.1917,108.8701,405.926829268293,405.926829268293,199716
"83","China/Shandong",36.3427,118.1498,798.121951219512,798.121951219512,392676
"84","China/Shanghai",31.202,121.4491,1102.67886178862,1102.67886178862,542518
"85","China/Shanxi",37.5777,112.2922,201.215447154472,201.215447154472,98998
"86","China/Sichuan",30.6171,102.7103,707.166666666667,707.166666666667,347926
"87","China/Tianjin",39.3054,117.323,251.89837398374,251.89837398374,123934
"88","China/Tibet",31.6927,88.0924,0.983739837398374,0.983739837398374,484
"89","China/Unknown",NA,NA,0.0142276422764228,0.0142276422764228,7
"90","China/Xinjiang",41.1129,85.2401,613.808943089431,613.808943089431,301994
"91","China/Yunnan",24.974,101.487,213.333333333333,213.333333333333,104960
"92","China/Zhejiang",29.1832,120.0934,1255.13211382114,1255.13211382114,617525
"93","Colombia/",4.5709,-74.2973,1034135.91260163,1034135.91260163,508794869
"94","Comoros/",-11.6455,43.3333,1162.48983739837,1162.48983739837,571945
"95","Congo (Brazzaville)/",-0.228,15.8277,4600.4756097561,4600.4756097561,2263434
"96","Congo (Kinshasa)/",-4.0383,21.7587,12369.3841463415,12369.3841463415,6085737
"97","Costa Rica/",9.7489,-83.7534,95056.1666666667,95056.1666666667,46767634
"98","Cote d'Ivoire/",7.54,-5.5471,18615.0508130081,18615.0508130081,9158605
