"","Country.Province","Lat","Long","pos_mean","pos_std","pos_sum"
"1","Afghanistan/",33.93911,67.709953,33923.2510288066,33923.2510288066,16486700
"2","Albania/",41.1533,20.1683,38499.8971193416,38499.8971193416,18710950
"3","Algeria/",28.0339,1.6596,54864.512345679,54864.512345679,26664153
"4","Andorra/",42.5063,1.5218,4672.20576131687,4672.20576131687,2270692
"5","Angola/",-11.2027,17.8739,9258.53497942387,9258.53497942387,4499648
"6","Antigua and Barbuda/",17.0608,-61.7964,275.316872427984,275.316872427984,133804
"7","Argentina/",-38.4161,-63.6167,979176.62962963,979176.62962963,475879842
"8","Armenia/",40.0691,45.0382,83865.3950617284,83865.3950617284,40758582
"9","Australia/Australian Capital Territory",-35.4735,149.0124,99.1069958847737,99.1069958847737,48166
"10","Australia/New South Wales",-33.8688,151.2093,3709.62962962963,3709.62962962963,1802880
"11","Australia/Northern Territory",-12.4634,130.8456,54.5946502057613,54.5946502057613,26533
"12","Australia/Queensland",-27.4698,153.0251,1050.6975308642,1050.6975308642,510639
"13","Australia/South Australia",-34.9285,138.6007,460.615226337449,460.615226337449,223859
"14","Australia/Tasmania",-42.8821,147.3272,194.337448559671,194.337448559671,94448
"15","Australia/Victoria",-37.8136,144.9631,12722.9526748971,12722.9526748971,6183355
"16","Australia/Western Australia",-31.9505,115.8605,653.298353909465,653.298353909465,317503
"17","Austria/",47.5162,14.5501,191000.156378601,191000.156378601,92826076
"18","Azerbaijan/",40.1431,47.5769,102269.316872428,102269.316872428,49702888
"19","Bahamas/",25.025885,-78.035889,4212.72222222222,4212.72222222222,2047383
"20","Bahrain/",26.0275,50.55,66118.0452674897,66118.0452674897,32133370
"21","Bangladesh/",23.685,90.3563,319244.611111111,319244.611111111,155152881
"22","Barbados/",13.1939,-59.5432,911.008230452675,911.008230452675,442750
"23","Belarus/",53.7098,27.9534,128245.934156379,128245.934156379,62327524
"24","Belgium/",50.8333,4.469936,351003.121399177,351003.121399177,170587517
"25","Belize/",17.1899,-88.4976,4726.60082304527,4726.60082304527,2297128
"26","Benin/",9.3077,2.3158,2677.22222222222,2677.22222222222,1301130
"27","Bhutan/",27.5142,90.4336,379.417695473251,379.417695473251,184397
