"","Country.Province","Lat","Long","pos_mean","pos_std","pos_sum"
"1","Afghanistan/",33.93911,67.709953,32175.1531728665,32175.1531728665,14704045
"2","Albania/",41.1533,20.1683,32601.4398249453,32601.4398249453,14898858
"3","Algeria/",28.0339,1.6596,50506.2647702407,50506.2647702407,23081363
"4","Andorra/",42.5063,1.5218,4121.65207877462,4121.65207877462,1883595
"5","Angola/",-11.2027,17.8739,8048.77461706783,8048.77461706783,3678290
"6","Antigua and Barbuda/",17.0608,-61.7964,214.319474835886,214.319474835886,97944
"7","Argentina/",-38.4161,-63.6167,843185.538293217,843185.538293217,385335791
"8","Armenia/",40.0691,45.0382,75355.1838074398,75355.1838074398,34437319
"9","Australia/Australian Capital Territory",-35.4735,149.0124,97.5404814004376,97.5404814004376,44576
"10","Australia/New South Wales",-33.8688,151.2093,3595.18161925602,3595.18161925602,1642998
"11","Australia/Northern Territory",-12.4634,130.8456,47.4857768052516,47.4857768052516,21701
"12","Australia/Queensland",-27.4698,153.0251,1017.69146608315,1017.69146608315,465085
"13","Australia/South Australia",-34.9285,138.6007,443.387308533917,443.387308533917,202628
"14","Australia/Tasmania",-42.8821,147.3272,191.82056892779,191.82056892779,87662
"15","Australia/Victoria",-37.8136,144.9631,12227.5667396061,12227.5667396061,5587998
"16","Australia/Western Australia",-31.9505,115.8605,630.835886214442,630.835886214442,288292
"17","Austria/",47.5162,14.5501,163371.820568928,163371.820568928,74660922
"18","Azerbaijan/",40.1431,47.5769,88223.4026258206,88223.4026258206,40318095
"19","Bahamas/",25.025885,-78.035889,3799.92560175055,3799.92560175055,1736566
"20","Bahrain/",26.0275,50.55,58403.7352297593,58403.7352297593,26690507
"21","Bangladesh/",23.685,90.3563,290775.076586433,290775.076586433,132884210
"22","Barbados/",13.1939,-59.5432,720.754923413567,720.754923413567,329385
"23","Belarus/",53.7098,27.9534,113141.518599562,113141.518599562,51705674
"24","Belgium/",50.8333,4.469936,309297.024070022,309297.024070022,141348740
"25","Belize/",17.1899,-88.4976,4221.64332603939,4221.64332603939,1929291
"26","Benin/",9.3077,2.3158,2346.36323851203,2346.36323851203,1072288
"27","Bhutan/",27.5142,90.4336,328.652078774617,328.652078774617,150194
"28","Bolivia/",-16.2902,-63.5887,107934.903719912,107934.903719912,49326251
"29","Bosnia and Herzegovina/",43.9159,17.6791,52152.7921225383,52152.7921225383,23833826
"30","Botswana/",-22.3285,24.6849,9273.36761487965,9273.36761487965,4237929
"31","Brazil/",-14.235,-51.9253,4566029.63238512,4566029.63238512,2086675542
"32","Brunei/",4.5353,114.7277,137.18818380744,137.18818380744,62695
"33","Bulgaria/",42.7339,25.4858,90484.7264770241,90484.7264770241,41351520
"34","Burkina Faso/",12.2383,-1.5616,3840.14442013129,3840.14442013129,1754946
"35","Burma/",21.9162,95.956,49072.5032822757,49072.5032822757,22426134
"36","Burundi/",-3.3731,29.9189,736.039387308534,736.039387308534,336370
"37","Cabo Verde/",16.5388,-23.0418,6476.19474835886,6476.19474835886,2959621
"38","Cambodia/",11.55,104.9167,525.35010940919,525.35010940919,240085
"39","Cameroon/",3.848,11.5021,18843.9212253829,18843.9212253829,8611672
"40","Canada/Alberta",53.9333,-116.5765,46401.8840262582,46401.8840262582,21205661
"41","Canada/British Columbia",53.7267,-127.6476,26686.9146608315,26686.9146608315,12195920
"42","Canada/Diamond Princess",0,0,0.0700218818380744,0.0700218818380744,32
"43","Canada/Grand Princess",0,0,11.4113785557987,11.4113785557987,5215
"44","Canada/Manitoba",53.7609,-98.8139,10314.4245076586,10314.4245076586,4713692
"45","Canada/New Brunswick",46.5653,-66.4619,477.98249452954,477.98249452954,218438
"46","Canada/Newfoundland and Labrador",53.1355,-57.6604,358,358,163606
"47","Canada/Northwest Territories",64.8255,-124.8457,14.6673960612691,14.6673960612691,6703
"48","Canada/Nova Scotia",44.682,-63.7443,1044.5295404814,1044.5295404814,477350
"49","Canada/Nunavut",70.2998,-83.1076,104.111597374179,104.111597374179,47579
"50","Canada/Ontario",51.2538,-85.3232,109560.89059081,109560.89059081,50069327
"51","Canada/Prince Edward Island",46.5107,-63.4168,60.45295404814,60.45295404814,27627
"52","Canada/Quebec",52.9399,-73.5491,114806.566739606,114806.566739606,52466601
"53","Canada/Repatriated Travellers",NA,NA,4.26695842450766,4.26695842450766,1950
"54","Canada/Saskatchewan",52.9399,-106.4509,8567.09190371991,8567.09190371991,3915161
"55","Canada/Yukon",64.2823,-135,29.4201312910284,29.4201312910284,13445
"56","Central African Republic/",6.6111,20.9394,3344.09409190372,3344.09409190372,1528251
"57","Chad/",15.4542,18.7322,1539.70021881838,1539.70021881838,703643
"58","Chile/",-35.6751,-71.543,408387.516411379,408387.516411379,186633095
"59","China/Anhui",31.8257,117.2264,961.597374179431,961.597374179431,439450
"60","China/Beijing",40.1824,116.4142,815.886214442013,815.886214442013,372860
"61","China/Chongqing",30.0572,107.874,568.958424507659,568.958424507659,260014
"62","China/Fujian",26.0789,117.9874,413.216630196937,413.216630196937,188840
"63","China/Gansu",35.7518,104.2861,157.827133479212,157.827133479212,72127
"64","China/Guangdong",23.3417,113.4244,1765.97374179431,1765.97374179431,807050
"65","China/Guangxi",23.8298,108.7881,251.63238512035,251.63238512035,114996
"66","China/Guizhou",26.8154,106.8748,141.978118161926,141.978118161926,64884
"67","China/Hainan",19.1959,109.7453,165.512035010941,165.512035010941,75639
"68","China/Hebei",39.549,116.1306,547.037199124726,547.037199124726,249996
"69","China/Heilongjiang",47.862,127.7615,980.428884026258,980.428884026258,448056
"70","China/Henan",37.8957,114.9042,1248.08315098468,1248.08315098468,570374
"71","China/Hong Kong",22.3,114.2,4857.87527352298,4857.87527352298,2220049
"72","China/Hubei",30.9756,112.2707,65214.4442013129,65214.4442013129,29803001
"73","China/Hunan",27.6104,111.7088,994.667396061269,994.667396061269,454563
"74","China/Inner Mongolia",44.0935,113.9448,254.89715536105,254.89715536105,116488
"75","China/Jiangsu",32.9711,119.455,648.553610503282,648.553610503282,296389
"76","China/Jiangxi",27.614,115.7221,906.945295404814,906.945295404814,414474
"77","China/Jilin",43.6661,126.1923,220.667396061269,220.667396061269,100845
"78","China/Liaoning",41.2956,122.6085,248.890590809628,248.890590809628,113743
"79","China/Macau",22.1667,113.55,41.0853391684902,41.0853391684902,18776
"80","China/Ningxia",37.2692,106.1655,72.4442013129103,72.4442013129103,33107
"81","China/Qinghai",35.7452,95.9956,17.6301969365427,17.6301969365427,8057
"82","China/Shaanxi",35.1917,108.8701,391.223194748359,391.223194748359,178789
"83","China/Shandong",36.3427,118.1498,791.868708971554,791.868708971554,361884
"84","China/Shanghai",31.202,121.4491,1032.40700218818,1032.40700218818,471810
"85","China/Shanxi",37.5777,112.2922,197.409190371991,197.409190371991,90216
"86","China/Sichuan",30.6171,102.7103,685.122538293217,685.122538293217,313101
"87","China/Tianjin",39.3054,117.323,241.520787746171,241.520787746171,110375
"88","China/Tibet",31.6927,88.0924,0.982494529540481,0.982494529540481,449
"89","China/Unknown",NA,NA,2.30853391684902,2.30853391684902,1055
"90","China/Xinjiang",41.1129,85.2401,585.763676148797,585.763676148797,267694
"91","China/Yunnan",24.974,101.487,203.08533916849,203.08533916849,92810
"92","China/Zhejiang",29.1832,120.0934,1247.99124726477,1247.99124726477,570332
"93","Colombia/",4.5709,-74.2973,882083.70678337,882083.70678337,403112254
"94","Comoros/",-11.6455,43.3333,956.415754923414,956.415754923414,437082
"95","Congo (Brazzaville)/",-0.228,15.8277,4101.57549234136,4101.57549234136,1874420
"96","Congo (Kinshasa)/",-4.0383,21.7587,10994.124726477,10994.124726477,5024315
"97","Costa Rica/",9.7489,-83.7534,81479.9978118162,81479.9978118162,37236359
"98","Cote d'Ivoire/",7.54,-5.5471,16484.5601750547,16484.5601750547,7533444
"99","Croatia/",45.1,15.2,82811.5142231948,82811.5142231948,37844862
"100","Cuba/",21.521757,-77.781167,14677.47702407,14677.47702407,6707607
"101","Cyprus/",35.1264,33.4299,11359.9649890591,11359.9649890591,5191504
"102","Czechia/",49.8175,15.473,387383.216630197,387383.216630197,177034130
"103","Denmark/Faroe Islands",61.8926,-6.9118,368.608315098468,368.608315098468,168454
"104","Denmark/Greenland",71.7069,-42.6043,16.3676148796499,16.3676148796499,7480
"105","Denmark/",56.2639,9.5018,71799.7658643326,71799.7658643326,32812493
"106","Diamond Princess/",0,0,673.059080962801,673.059080962801,307588
"107","Djibouti/",11.8251,42.5903,4309.33479212254,4309.33479212254,1969366
"108","Dominica/",15.415,-61.371,53.7330415754923,53.7330415754923,24556
"109","Dominican Republic/",18.7357,-70.1627,102512.308533917,102512.308533917,46848125
"110","Ecuador/",-1.8312,-78.1834,131227.087527352,131227.087527352,59970779
"111","Egypt/",26.820553,30.802498,90338.5623632385,90338.5623632385,41284723
"112","El Salvador/",13.7942,-88.8965,26268.4332603939,26268.4332603939,12004674
"113","Equatorial Guinea/",1.6508,10.2679,3562.80087527352,3562.80087527352,1628200
"114","Eritrea/",15.1794,39.7823,836.92341356674,836.92341356674,382474
"115","Estonia/",58.5953,25.0136,20132.1903719912,20132.1903719912,9200411
"116","Eswatini/",-26.5225,31.4659,5944.77899343545,5944.77899343545,2716764
"117","Ethiopia/",9.145,40.4897,69289.7527352298,69289.7527352298,31665417
"118","Fiji/",-17.7134,178.065,31.6280087527352,31.6280087527352,14454
"119","Finland/",61.92411,25.748151,21464.9803063457,21464.9803063457,9809496
"120","France/French Guiana",3.9339,-53.1258,7980.21444201313,7980.21444201313,3646958
"121","France/French Polynesia",-17.6797,149.4068,6704.4420131291,6704.4420131291,3063930
"122","France/Guadeloupe",16.265,-61.551,4348.15754923414,4348.15754923414,1987108
"123","France/Martinique",14.6415,-61.0242,2721.24507658643,2721.24507658643,1243609
"124","France/Mayotte",-12.8275,45.166244,5330.03282275711,5330.03282275711,2435825
"125","France/New Caledonia",-20.904305,165.618042,33.3610503282276,33.3610503282276,15246
"126","France/Reunion",-21.1151,55.5364,4893.44420131291,4893.44420131291,2236304
"127","France/Saint Barthelemy",17.9,-62.8333,163.752735229759,163.752735229759,74835
"128","France/Saint Pierre and Miquelon",46.8852,-56.3159,9.98249452954048,9.98249452954048,4562
"129","France/St Martin",18.0708,-63.0501,522.08533916849,522.08533916849,238593
"130","France/Wallis and Futuna",-14.2938,-178.1165,35.1269146608315,35.1269146608315,16053
"131","France/",46.2276,2.2137,1373214.35448578,1373214.35448578,627558960
"132","Gabon/",-0.8037,11.6094,7369.43544857768,7369.43544857768,3367832
"133","Gambia/",13.4432,-15.3101,2256.67396061269,2256.67396061269,1031300
"134","Georgia/",42.3154,43.3569,85823.3960612691,85823.3960612691,39221292
"135","Germany/",51.165691,10.451526,861313.897155361,861313.897155361,393620451
"136","Ghana/",7.9465,-1.0232,37948.8205689278,37948.8205689278,17342611
"137","Greece/",39.0742,21.8243,67742.7439824945,67742.7439824945,30958434
"138","Grenada/",12.1165,-61.679,54.2800875273523,54.2800875273523,24806
"139","Guatemala/",15.7835,-90.2308,78807.9080962801,78807.9080962801,36015214
"140","Guinea/",9.9456,-9.6966,8806.5010940919,8806.5010940919,4024571
"141","Guinea-Bissau/",11.8037,-15.1804,1827.69803063457,1827.69803063457,835258
"142","Guyana/",4.860416,-58.93018,3343.46608315098,3343.46608315098,1527964
"143","Haiti/",18.9712,-72.2852,6649.16411378556,6649.16411378556,3038668
"144","Holy See/",41.9029,12.4534,16.308533916849,16.308533916849,7453
"145","Honduras/",15.2,-86.2419,72075.8358862144,72075.8358862144,32938657
"146","Hungary/",47.1625,19.5033,152433.787746171,152433.787746171,69662241
"147","Iceland/",64.9631,-19.0208,3254.93216630197,3254.93216630197,1487504
"148","India/",20.593684,78.96288,5206603.31509847,5206603.31509847,2379417715
"149","Indonesia/",-0.7893,113.9213,441045.754923414,441045.754923414,201557910
"150","Iran/",32.427908,53.688046,661543.658643326,661543.658643326,302325452
"151","Iraq/",33.223191,43.679291,319579.15536105,319579.15536105,146047674
"152","Ireland/",53.1424,-7.6921,73617.0240700219,73617.0240700219,33642980
"153","Israel/",31.046051,34.851612,267445.24726477,267445.24726477,122222478
"154","Italy/",41.87194,12.56738,1060794.23413567,1060794.23413567,484782965
"155","Jamaica/",18.1096,-77.2975,8852.4113785558,8852.4113785558,4045552
